,0,1
0,AMD,GWL
1,BBI,IXL
2,BDQ,MAA
3,COK,AGR
4,DEL,SHL
5,GOI,JAI
6,GOI,RAJ
7,GWL,AMD
8,HGI,AGR
9,ISK,AGR
10,IXG,AMD
11,IXG,BEK
12,JAI,GOI
13,JAI,RAJ
14,JGB,JLR
15,MAA,BDQ
16,RAJ,GOI
17,RQY,AGR
18,SAG,AGR
19,SHL,AGR
20,VTZ,VNS
