,0,1
0,AMD,DEL
1,BLR,BOM
2,BLR,CCU
3,BLR,DEL
4,BLR,HYD
5,BOM,BLR
6,BOM,DEL
7,BOM,HYD
8,CCU,BLR
9,CCU,DEL
10,DEL,AMD
11,DEL,BLR
12,DEL,BOM
13,DEL,CCU
14,DEL,HYD
15,DEL,PNQ
16,HYD,BLR
17,HYD,BOM
18,HYD,DEL
19,PNQ,DEL
20,VTZ,VNS
